# FromNodeId	ToNodeId
0	5
0	79
0	235
0	296
0	446
0	526
0	542
0	600
0	784
0	887
0	888
0	898
0	919
0	935
0	956
0	967
0	1132
0	1179
0	1250
0	1310
0	1329
0	1345
0	1386
0	1399
0	1414
0	1538
0	1539
0	1558
0	1565
0	1615
0	1624
0	1648
0	1705
0	1733
0	1785
0	1894
0	1955
0	2013
0	2024
0	2040
0	2065
0	2100
0	2150
0	2221
0	2275
0	2332
0	2336
0	2365
0	2443
0	2479
0	2529
0	2569
0	2596
0	2606
0	2618
0	2682
0	2753
0	2783
0	2817
0	2824
0	2869
0	2871
0	2887
0	2926
0	2950
0	2952
0	2966
0	2989
0	3016
0	3043
0	3044
0	3047
0	3153
0	3209
0	3215
0	3226
0	3246
0	3252
0	3255
0	3273
0	3361
0	3427
0	3478
0	3489
0	3510
0	3606
0	3643
0	3722
0	3740
0	3823
0	3858
0	3861
0	3863
0	3903
0	3921
0	4064
1	35
1	214
1	420
1	530
1	612
1	848
1	875
1	890
1	898
1	947
1	1064
1	1090
1	1117
1	1124
1	1196
1	1351
1	1392
1	1404
1	1435
1	1456
1	1460
1	1534
1	1560
1	1574
1	1727
1	1824
1	1888
1	1974
1	1981
1	2015
1	2059
1	2069
1	2088
1	2097
1	2098
1	2136
1	2239
1	2258
1	2309
1	2326
1	2329
1	2370
1	2406
1	2443
1	2446
1	2471
1	2527
1	2574
1	2631
1	2692
1	2779
1	2827
1	2893
1	2980
1	2988
1	3016
1	3020
1	3037
1	3061
1	3089
1	3116
1	3121
1	3211
1	3268
1	3273
1	3292
1	3317
1	3339
1	3341
1	3353
1	3546
1	3565
1	3602
1	3628
1	3663
1	3664
1	3691
1	3702
1	3708
1	3785
1	3869
1	3885
1	3904
1	3923
1	3963
1	4005
2	58
2	144
2	255
2	311
2	456
2	627
2	641
2	655
2	667
2	795
2	935
2	989
2	1035
2	1202
2	1387
2	1489
2	1580
2	1630
2	1868
2	2061
2	2212
2	2222
2	2486
2	2555
2	2625
2	3028
2	3060
2	3185
2	3227
2	3275
2	3434
2	3436
2	3441
2	3467
2	3524
2	3539
2	3634
2	3915
3	130
3	140
3	176
3	192
3	195
3	352
3	475
3	542
3	549
3	652
3	677
3	692
3	779
3	859
3	883
3	942
3	965
3	1030
3	1111
3	1150
3	1155
3	1176
3	1226
3	1314
3	1341
3	1373
3	1438
3	1452
3	1523
3	1558
3	1584
3	1590
3	1605
3	1621
3	1700
3	1806
3	1992
3	2002
3	2034
3	2111
3	2115
3	2197
3	2231
3	2312
3	2336
3	2389
3	2393
3	2413
3	2447
3	2451
3	2460
3	2479
3	2503
3	2546
3	2632
3	2692
3	2700
3	2704
3	2715
3	2749
3	2760
3	2874
3	2876
3	2898
3	2952
3	2960
3	3042
3	3047
3	3097
3	3116
3	3134
3	3182
3	3185
3	3214
3	3227
3	3311
3	3484
3	3493
3	3527
3	3543
3	3552
3	3784
3	3788
3	3844
3	3859
3	3884
3	3952
3	4071
3	4085
5	36
5	166
5	242
5	399
5	428
5	545
5	634
5	662
5	845
5	861
5	947
5	1137
5	1258
5	1526
5	1561
5	1776
5	1812
5	2058
5	2112
5	2220
5	2305
5	2311
5	2324
5	2329
5	2453
5	2529
5	2595
5	2913
5	3139
5	3209
5	3345
5	3447
5	3602
5	3894
5	4054
6	26
6	47
6	50
6	165
6	242
6	247
6	294
6	316
6	358
6	498
6	706
6	798
6	847
6	894
6	1060
6	1084
6	1253
6	1421
6	1486
6	1494
6	1499
6	1609
6	1615
6	1616
6	1721
6	1883
6	1938
6	2063
6	2113
6	2135
6	2136
6	2155
6	2201
6	2440
6	2441
6	2455
6	2506
6	2563
6	2685
6	2707
6	2781
6	2817
6	2898
6	3236
6	3314
6	3319
6	3432
6	3448
6	3465
6	3472
6	3605
6	3663
6	3668
6	3769
6	3810
6	3886
6	3961
6	3988
6	4026
6	4077
7	148
7	438
7	679
7	731
7	735
7	894
7	1236
7	1350
7	1413
7	1459
7	1504
7	1517
7	1583
7	1598
7	1717
7	2051
7	2517
7	2524
7	2549
7	2557
7	2916
7	3263
7	3356
7	3533
7	3571
7	3624
7	3777
9	71
9	155
9	168
9	353
9	373
9	470
9	496
9	556
9	559
9	563
9	623
9	785
9	795
9	862
9	889
9	903
9	940
9	980
9	1049
9	1069
9	1151
9	1190
9	1207
9	1239
9	1247
9	1290
9	1292
9	1479
9	1489
9	1546
9	1566
9	1630
9	1743
9	1754
9	1863
9	1907
9	1937
9	1951
9	2034
9	2092
9	2108
9	2138
9	2146
9	2149
9	2215
9	2298
9	2423
9	2473
9	2503
9	2603
9	2645
9	2684
9	2793
9	2810
9	2840
9	2876
9	2929
9	2968
9	3038
9	3082
9	3166
9	3174
9	3187
9	3194
9	3217
9	3231
9	3235
9	3271
9	3290
9	3335
9	3384
9	3402
9	3421
9	3455
9	3539
9	3571
9	3585
9	3648
9	3657
9	3684
9	3864
9	3928
9	3943
9	3986
10	96
10	113
10	254
10	368
10	441
10	452
10	461
10	568
10	577
10	674
10	694
10	715
10	731
10	818
10	867
10	1023
10	1029
10	1266
10	1286
10	1321
10	1355
10	1583
10	1612
10	1665
10	1668
10	1751
10	1756
10	1831
10	1837
10	1862
10	1865
10	1898
10	1920
10	2056
10	2079
10	2088
10	2180
10	2223
10	2231
10	2284
10	2363
10	2367
10	2394
10	2424
10	2428
10	2486
10	2664
10	2771
10	2827
10	2924
10	2950
10	3169
10	3247
10	3303
10	3316
10	3361
10	3586
10	3599
10	3606
10	3721
10	3724
10	3742
10	3751
10	3805
10	3931
10	3969
10	4011
10	4076
11	124
11	197
11	364
11	369
11	696
11	710
11	716
11	793
11	838
11	843
11	850
11	876
11	888
11	1076
11	1150
11	1153
11	1232
11	1285
11	1310
11	1426
11	1489
11	1505
11	1585
11	1758
11	2002
11	2166
11	2314
11	2336
11	2492
11	2626
11	2710
11	2775
11	2837
11	2895
11	2955
11	2961
11	3010
11	3149
11	3229
11	3295
11	3395
11	3472
11	3492
11	3541
11	3547
11	3850
11	3999
11	4049
12	75
12	216
12	225
12	262
12	376
12	385
12	406
12	454
12	522
12	635
12	658
12	668
12	752
12	768
12	893
12	900
12	912
12	1082
12	1130
12	1132
12	1176
12	1285
12	1351
12	1366
12	1374
12	1375
12	1416
12	1479
12	1517
12	1674
12	1693
12	1716
12	1915
12	1984
12	1995
12	2010
12	2034
12	2051
12	2127
12	2134
12	2250
12	2436
12	2474
12	2675
12	2689
12	2737
12	2757
12	2788
12	2801
12	2934
12	2984
12	2994
12	3027
12	3043
12	3189
12	3200
12	3205
12	3259
12	3377
12	3609
12	3691
12	3733
12	3782
12	3850
12	3947
12	4016
13	53
13	97
13	145
13	163
13	307
13	319
13	343
13	362
13	368
13	395
13	435
13	514
13	515
13	521
13	528
13	610
13	654
13	780
13	820
13	852
13	864
13	1017
13	1028
13	1030
13	1097
13	1182
13	1198
13	1236
13	1271
13	1329
13	1369
13	1371
13	1503
